VGT: Vanguard Information Technology ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	40894500
Shares Outstanding: 117554000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Information Technology 25/50 Index
ETFdb.com Category: Technology Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VGT


Holding,Symbol,Weighting
"Blackbaud, Inc.",BLKB,0.03%
Cerence Inc.,CRNC,0.03%
Diodes Incorporated,DIOD,0.03%
Synaptics Incorporated,SYNA,0.03%
"Ambarella, Inc.",AMBA,0.03%
"Kulicke & Soffa Industries, Inc.",KLIC,0.02%
"NetScout Systems, Inc.",NTCT,0.02%
"Tenable Holdings, Inc.",TENB,0.02%
ManTech International Corporation Class A,MANT,0.02%
Teradata Corporation,TDC,0.02%
MaxLinear inc,MXL,0.02%
"Bottomline Technologies (de), Inc.",EPAY,0.02%
"Yext, Inc.",YEXT,0.02%
"Pluralsight, Inc. Class A",PS,0.02%
Knowles Corp.,KN,0.02%
"Fitbit, Inc. Class A",FIT,0.02%
Repay Holdings Corp. Class A,RPAY,0.02%
Plexus Corp.,PLXS,0.02%
"InterDigital, Inc.",IDCC,0.02%
Verra Mobility Corp. Class A,VRRM,0.02%
"2U, Inc.",TWOU,0.02%
"Cloudera, Inc.",CLDR,0.02%
"MACOM Technology Solutions Holdings, Inc.",MTSI,0.02%
"ViaSat, Inc.",VSAT,0.02%
SunPower Corporation,SPWR,0.02%
"Perficient, Inc.",PRFT,0.02%
"EVERTEC, Inc.",EVTC,0.02%
Xperi Holding Corporation,XPER,0.02%
Belden Inc.,BDC,0.02%
"SVMK, Inc.",SVMK,0.02%
NIC Inc.,EGOV,0.02%
Sanmina Corporation,SANM,0.02%
"Onto Innovation, Inc.",ONTO,0.02%
"Amkor Technology, Inc.",AMKR,0.02%
Progress Software Corporation,PRGS,0.02%
Rambus Inc.,RMBS,0.02%
"8x8, Inc.",EGHT,0.02%
"Badger Meter, Inc.",BMI,0.02%
"OSI Systems, Inc.",OSIS,0.02%
"CommVault Systems, Inc.",CVLT,0.02%
"PROS Holdings, Inc.",PRO,0.02%
Altair Engineering Inc. Class A,ALTR,0.02%
"CommScope Holding Co., Inc.",COMM,0.02%
Avaya Holdings Corp.,AVYA,0.02%
Unisys Corporation,UIS,0.01%
"Limelight Networks, Inc.",LLNW,0.01%
"ACM Research, Inc. Class A",ACMR,0.01%
"PDF Solutions, Inc.",PDFS,0.01%
Sprout Social Inc Class A,SPT,0.01%
"Cohu, Inc.",COHU,0.01%
"Model N, Inc.",MODN,0.01%
"FARO Technologies, Inc.",FARO,0.01%
MTS Systems Corporation,MTSC,0.01%
"ScanSource, Inc.",SCSC,0.01%
"Shift4 Payments, Inc. Class A",FOUR,0.01%
Diebold Nixdorf Incorporated,DBD,0.01%
"Axcelis Technologies, Inc.",ACLS,0.01%
"nLIGHT, Inc.",LASR,0.01%
Infinera Corporation,INFN,0.01%
"Benchmark Electronics, Inc.",BHE,0.01%
OneSpan Inc.,OSPN,0.01%
"Ichor Holdings, Ltd.",ICHR,0.01%
Alpha and Omega Semiconductor Limited,AOSL,0.01%
"TTM Technologies, Inc.",TTMI,0.01%
"CSG Systems International, Inc.",CSGS,0.01%
"Sykes Enterprises, Incorporated",SYKE,0.01%
SiTime Corporation,SITM,0.01%
"Methode Electronics, Inc.",MEI,0.01%
QAD Inc. Class A,QADA,0.01%
"PC Connection, Inc.",CNXN,0.01%
"Ultra Clean Holdings, Inc.",UCTT,0.01%
"Impinj, Inc.",PI,0.01%
Veeco Instruments Inc.,VECO,0.01%
"Conduent, Inc.",CNDT,0.01%
"Zuora, Inc. Class A",ZUO,0.01%
3D Systems Corporation,DDD,0.01%
"CEVA, Inc.",CEVA,0.01%
"Domo, Inc. Class B",DOMO,0.01%
JFrog Ltd.,FROG,0.01%
"ADTRAN, Inc.",ADTN,0.01%
Ping Identity Holding Corp.,PING,0.01%
SolarWinds Corp.,SWI,0.01%
EchoStar Corporation Class A,SATS,0.01%
"Photronics, Inc.",PLAB,0.01%
"Ebix, Inc.",EBIX,0.01%
"Switch, Inc. Class A",SWCH,0.01%
"Super Micro Computer, Inc.",SMCI,0.01%
"Ribbon Communications, Inc.",RBBN,0.01%
BigCommerce Holdings Inc,BIGC,0.01%
CTS Corporation,CTS,0.01%
"Agilysys, Inc.",AGYS,0.01%
PAR Technology Corporation,PAR,0.01%
Tucows Inc.,TCX,0.01%
"Upland Software, Inc.",UPLD,0.01%
"NETGEAR, Inc.",NTGR,0.01%
Cardtronics plc Class A,CATM,0.01%
"Extreme Networks, Inc.",EXTR,0.01%
"MobileIron, Inc.",MOBL,0.01%
"TTEC Holdings, Inc.",TTEC,0.01%
"Plantronics, Inc.",PLT,0.01%
"American Software, Inc. Class A",AMSWA,0.01%
Harmonic Inc.,HLIT,0.01%
"PagerDuty, Inc.",PD,0.01%
"EVO Payments, Inc. Class A",EVOP,0.01%
Inseego Corp.,INSG,0.01%
ePlus inc.,PLUS,0.01%
Virtusa Corporation,VRTU,0.01%
"Calix, Inc.",CALX,0.01%
"Cass Information Systems, Inc.",CASS,0.01%
"Endurance International Group Holdings, Inc.",EIGI,0.01%
CalAmp Corp.,CAMP,0.0%
"GreenSky, Inc. Class A",GSKY,0.0%
"i3 Verticals, Inc. Class A",IIIV,0.0%
"SMART Global Holdings, Inc.",SGH,0.0%
"Arlo Technologies, Inc.",ARLO,0.0%
NVE Corporation,NVEC,0.0%
NeoPhotonics Corporation,NPTN,0.0%
"Applied Optoelectronics, Inc.",AAOI,0.0%
"Benefitfocus, Inc.",BNFT,0.0%
Intelligent Systems Corporation,INS,0.0%
Comtech Telecommunications Corp.,CMTL,0.0%
Digimarc Corporation,DMRC,0.0%
"ShotSpotter, Inc.",SSTI,0.0%
"Kimball Electronics, Inc.",KE,0.0%
"A10 Networks, Inc.",ATEN,0.0%
VirnetX Holding Corporation,VHC,0.0%
"NAPCO Security Technologies, Inc.",NSSC,0.0%
"Mitek Systems, Inc.",MITK,0.0%
"Avid Technology, Inc.",AVID,0.0%
"International Money Express, Inc.",IMXI,0.0%
Digi International Inc.,DGII,0.0%
"GTT Communications, Inc.",GTT,0.0%
"Vishay Precision Group, Inc.",VPG,0.0%
"Hackett Group, Inc.",HCKT,0.0%
"Casa Systems, Inc.",CASA,0.0%
Zix Corporation,ZIXI,0.0%
"Daktronics, Inc.",DAKT,0.0%
"PaySign, Inc. Class B",PAYS,0.0%
"Grid Dynamics Holdings, Inc. Class A",GDYN,0.0%
Palantir Technologies Inc. Class A,PLTR,0.0%
